Video Id,Positive Comments,Neutral Comments,Negative Comments
LTMmQ455zlA,464,151,92
loved this david thank you,0.7506
awesome paul,0.6249
this is the riff stevie used constantly just faster and in open position nailed and with great humor thanks,0.8442
amazing man so grateful,0.796
he died today rest in peace stevie,-0.0258
where do you get your guitar strap i really like it,0.4201
i know why srv played two slides when playing live it looks more busy so it looks a lot cooler,0.4939
proving the old rule there is no right way to play anything there is only getting away with it attitude rules,0.0516
thanks for the help i have been struggling with this piece for awhile love it,0.7906
very nice,0.4754
now play the main riff of awaken by dethklok,0.34
goede video leuke nummers erg fraai gespeeld en prima uitleg 30 jaar geleden begonnen met gitaar maar laatste 15 jaar nauwelijks naar omgekeken via ander kanaal zag ik dit en raak weer voorzichtig enthousiast bedankt en keep guitarin,0.0
crazy perfect period,0.3182
i have never really listened to srv until i watched this pop some tracks on whilst showering wow terrific vid,0.7845
fantastic quality of teaching and video editing the effort you put in is so appreciable you deserve all the respect and love from the guitar community,0.8979
you and uncle ben are the only two guitar channels i actively watch your lessons and videos are amazing and informative keep on keeping on,0.7269
in case you have never seen or heard it https www youtube com watch v grbmqwlsldw,0.0
if you look at the tokyo performance carefully you can see stevie use hybrid picking,0.128
ok srv you have broken my heart and snapped my will before but paul has encouraged me to try one more time so i will please do not break my heart again lol,0.871
stevie ray vaughan was an incredible rhythm player his right hand was really dynamic and fast that s why some of his blues riffs are really hard to play because even his lead playing was executed with a complex rhythmic approach,0.8344
30 years today without srv rip,0.0
only person i will smash that like button for when told,0.3612
any info on what you used to get that tone paul,0.0
stevie ray vaughn died 30 years ago rip legend,-0.5574
epic video thanks mate,0.4404
on this very day it 30 years since he passed away on the same day i was born,0.0
welp i know what lick i am woodshedding next great breakdown,0.6249
srv died 30 years ago today,-0.5574
finally my man stevie getting some attention,0.0
he sounds like ren from the ren stimpy show,0.3612
i can not wait to give this a try thanks paul,0.4404
what is a song of this riff,0.0
scuttlebutt is an old term for info as in what is the scuttlebutt so in the sense of this title i take scuttlebuttin to mean bullshittin or shootin the breeze,0.0
thank you paul one more off the gotta know list,0.3612
the pipe is nod to his idol albert king albert king can be seen smoking a similar pipe towards the end of the in session video with srv scuttlebuttin is a variance of lonnie mack chicken pickin who was another huge influence on stevie testify was lifted form a hendrix lick from the isley brothers song of the same name,0.3182
i see paul davis i click i see paul davies and srv brother i hit like while the ads are playing,0.5106
stevie ray vaughan is white boy blues zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,0.0
so talented knowledgeable and entertaining paul you are absolutely the best guitar channel on youtube thanks for all you do,0.9309
it means gossip scuttlebutt in slang usage means rumor or gossip deriving from the nautical term for the cask used to serve water or later a water fountain the term corresponds to the colloquial concept of a water cooler in an office setting which at times becomes the focus of congregation and casual discussion,-0.1531
i read in an article in guitar player i believe that srv used to superglue his fretting fingertips to his other arm and then pull them free with skin patches attached because his fingertips were shreaded from playing so hard on the heavy 0 13 set of strings trying to play those bends every night when touring would only have contributed to that problem,0.4467
nice approach and tutorial thanks for sharing the magic btw what amp are you using in this video,0.8176
30 years death anniversary aug 27 1990 r i p srv gone but never forgotten,-0.1157
damn did you get a new video editor mad props,-0.7096
love it heel veel bedankt maestro,0.6369
technology is not compatible w soulful feel,0.0
cut the creative crap and get to the point,-0.2023
somehow or another this song came very natural for me it s his slow blues solos that totally mind f me,0.4201
que hermoso canal encontré greetings from perú,0.4215
hi paul thank you for all the knowledge you have been sharing throughout the years i realized you have your guitars hanging on the wall in two rows exactly the same way i want to do in my new home studio can you tell us the spacing you have used between hangers cheers,0.8271
the very moment i saw the thumbnail i knew exactly which tune it was oh boi,0.0
song sugestion what is left behind by the sadies best group,0.6369
i actually played this song with bends for years and i could keep up with the speed and clarity of the notes then i saw the videos of stevie playing with slides and was completely lost i just could not play it so glad i found your video will go back to play the way i used to and have lots of fun with this awesome song,0.8985
i will be back when i will have a guitar nearby like closer than 1000km i love this format in your new space dude behind the curtains is very useful and the sound is sweet,0.9168
i dunno that live recording was played even faster than 156bpm imo,0.34
great content paul,0.6249
i learn more from paul vids than i had from playing 21 years thank you paul d,0.5106
in the navy scuttlebutt is gossip and since most of the gossip used to occur around the water bucket on old sailing ships the drinking fountain became known as the scuttlebutt as well,-0.0772
i am sure he is partially playing chicken picken,0.4767
30 years ago i could manage 2nd fret bends on 11s like that but i am 60 now and my fingers and callouses have gone soft plus i am straight mostly these days a super reverb cranked helps make the guitar play itself as well and i sold my beloved 14 years ago still cryin,0.9721
i am sure that you have seen this a million times but your editing skills are so great,0.8753
this short but so great song is now more difficult for me when bending but for my old slow hands sliding will have to do thanks for this great lesson i have always loved this tune,0.9757
more srv paul more srv,0.0
you do a great job thank you,0.765
thank you for this info you go into the little details and explain it very well 10 10,0.5984
i have this song in my lesson omg,0.0
wow i always played it with bends and felt it was easier then with slides and when i heard it for the first time i was sure it was bends until youtube and then this video,0.8834
love your videos man very informative thank you for your time and effort,0.7893
it sounds way better with bends,0.4404
i have not watched this video yet but i imagine the sting gauge makes this a bitch to play edit i dont know what i am talking about,-0.631
only thing he does difficult is some of those whole step bends with your index finger other than that he is pretty much blues box,0.1779
neil young s harvest moon ana as for tobi anything that you are eating,0.0
let not forget those telephone cable gauge 13s stevie had on his high e string,0.1695
stevie ray has the best sounding low e string ever recorded don t change my mind,0.4767
you forgot the cocaine helps get the bpm up,0.3818
perfect timing i was literally jamming to his songs yesterday and thinking man this playing is ridiculous,0.4939
the production value of this video is incredible,0.34
wow 148k views immediately in one single day 713 responses that the srv effect haha,0.7783
you are not making the right face,0.0
jokes on you stevie couldn t read music now do it behind you back there is a video where srv plays voodoo child entirely behind his back,0.4588
3 words stevie ray vaughan,0.0
oh yeah my man stevie,0.296
wow i thought that could only play stevie,0.7351
do some duane allman,0.0
love it paul thanks,0.7964
i think stevie switched it up from bending or sliding probably depending on which one he wanted to do that night just to mix it up,0.0
wonderfull and precious tips thanks james,0.765
nice playing quality content cheers from quebec,0.7717
well done from texas,0.2732
739th,0.0
ok so i m a bit confused about one thing the last note of challenge 2 is to either bend the b string 3rd fret or slide it up to the 5th fret or e note david says to use an upstroke then the first note of challenge 3 is the little e string open david says it s important to use an upstroke for it too so does this mean we are supposed to use 2 upstrokes in a row first on the b string bend slide then again on the little e string at the start of challenge 3,0.323
you need to tackle that when doves cry intro someday better get ready,0.3182
if srv learned to play and sound exactly like say muddy watters we would not have srv i think the thing is to play it as it sounds best to you that how they used to learn listen to it on a record play it yeah that good enough for the bar downtown anyway love your videos keep up the good content,0.9753
thank you been wanting to learn this song for years brilliant and flawless recreation,0.8625
older even than the great state o texas scut tle butt ˈskədlˌbət learn to pronounce nouninformal north american noun scuttlebutt rumor gossip the scuttlebutt has it that he was a spy origin early 19th century denoting a water butt on the deck of a ship providing drinking water from scuttled butt sailors would traditionally exchange gossip when they gathered at the scuttlebutt for a drink of water,0.4019
6 40 he actually plays 2 3 2 instead of just 3 2 there and this is almost impossible so was so damn fast this part sounds light a lightning striking another lightning,-0.4255
to further emphasize what a beast srv was here he is playing that song at a soundcheck minutes after he woke up that day https www youtube com watch v grbmqwlsldw skip to 1m25s great vid paul keep up the awesome work,0.875
12 05 not quite my tempo,0.0
thanks david,0.4404
what guitar software do you use to slow it all down great vid btw,0.6249
could not really tell the difference in sound between the slide and the bend clearly i need to work on my ear,0.4019
great lesson classic tune thanks paul,0.7906
good,0.4404
srv is no doubt one of the greatest musicians of all time i think it speaks volumes that even 30 years on from his tragic end as of tomorrow he is still influencing countless people and blowing our minds with his insane playing most certainly has inspired me for one,0.4131
paul davids damn your video editor is doing good work,0.0516
man great video i think we all agree you gotta keep uploading srv riffs,0.765
i like play this song i use to play with light string but for these song i prefer thick strings and thick pic they help me to slide and pick properly in time,0.7717
wanna learn marty friedman bending for melody,0.0
and all that on 13 gauge strings,0.0
i loved how you showed us the riff being slowed down that the easiest way to learn guitar and licks by ear i love your videos i send you a big hug from méxico my brother,0.9325
on my channel i play solos with tabs and i spend a lot of time to be as accurate as possible in particular the slides and bends so obviously i love what you did in this video,0.7832
if you see a picture of srv guitar the whole neck is worn down between every fret,-0.296
you are messing with perfection,0.5719
what a useful tip i have never done this before slowed it down i usually just rewind play repeat over and over i have the guitar tabs app and i can do this too thanks for bringing it to my attention,0.802
stevie was a monster he put everything he had into music and guitar playing i was a fan of his and jimmy s fabulous thunderbirds when i was a small child in the 80 s i still am,0.7579
damn you got the tone down i find that the hardest thing sounds amazing,0.2732
you are leaving out a d on the b string in the main riff,0.0
i understand youre explaining to other people but to actually play like srv youll have to throw all that out the window he was a direct channel he didnt think oh im gonna play this next or that next he was one with his guitar and just played he was playing guitar when he was still a child every day a master,0.9294
great video brother,0.6249
great video,0.6249
he did this riff like two days ago and if you do not follow him yet you should,0.3612
do you follow acdc covers insta,0.0
srv is the blues hendrix mad skills,-0.4939
this is such a quality video,0.0
scuttlebutt is gossip or rumors thus scuttlebuttin is gossiping,-0.5106
i learned the term scuttlebutt while serving in the marines it meant gossip or rumors it also meant water fountain or where one would go to get a drink and these meetings facilitated gossip rumors,-0.34
i knew it would be this riff without starting the video,0.0
tip play that lick to end with an e chord,0.34
great channel and very good and valuable content i am leaving subscriptions i also invite you to visit my channel with guitar backing tracks,0.9073
we ve got the same strap paul haha,0.4588
i knew exactly what song it was gonna be srv imo is the best musician to have lived in modern times,0.6369
i have the feeling paul entire life led up to this video this is amazing,0.6486
i remember reading several interviews with kirk hammett where he talks about how he could never properly nail this riff maybe he should check out this video,0.0
great job from a master,0.6249
srv plays with a so strong soulness that seems a earthquake and a smoth breeze at the same time,0.6801
steve is amazing guitar in the world i am a passion to stv good bless texas ant strv,0.91
he must be getting out of breath puffing that pipe while playing if i play with a bob marley cigarette in my mouth every time i take a breath you don t get air you get smoke,0.4939
yes thank you more srv please stevie was inspired by lonnie mack chickin pickin for that song,0.8744
for an artist request how bout any part of carol by mr chuck berry great video on srv btw,0.6249
,0.0
awesome video thank you so much,0.765
what is the best way to do pull offs without hitting strings below or prevent strings below from making sound i imagine it depends on the song you re playing and i know of a few ways but i m struggling finding the best and most comfortable method any tips,0.9009
gently clicked that like before the challenge 1 came up,0.7003
which ar the caps position neck only awesome video,0.6249
it does not sound right unless you do the face,0.0
yeah paul srv is definitely hand down the undisputed numero uno champion of blues guitar i remember the first time i saw him play it was major goosebumps i had never seen anyone play guitar and sing that perfect blues voice so fast and effortless i was speechless after he quit the alcohol and drugs he was even better there was only one rip srv,0.9698
thank you thank you thank you,0.7579
let me grab my pipe i will be right back,0.0
fantastic lesson one of my favorite artists one of my favorite songs thank you for doing that one,0.9022
great lesson i practice eugenes trick bag and scuttlebuttin everyday so amazing you have covered both of these in your videos,0.8679
may i ask where are you from your accent is so adorable,0.6269
he slides,0.0
it s so difficult because you re not srv,-0.4201
brilliant,0.5859
it probably means gossip in but in this context i think it means haulin ass,-0.7269
thanks paul wonderful breakdown masterful teaching easy sub,0.8591
amazing,0.5859
nice breakdown man excellent,0.7579
i feel like only guitarist like srv,0.6124
it on a par with rude mood for hardest blues riff for sure stevie rhythm chops were second to none,-0.1779
lol multiple fingerings possible,0.4215
what are you using for your dirt,-0.34
the scuttlebutt is a drinking fountain on a ship naval personnel would get a drink of water and talk about the news happenings of the day they called their conversation the scuttlebutt this turned into it own word meaning gossip or rumor,-0.1779
give us more of these stevie and jimi isms,0.0
paul needs to stop barging in while you re trying to make a video smh,-0.5423
srv my favourite guitarist he had it all unbelievable skill matched with passion,0.5859
the thing with the slide and the bend is not a suddlety to me you can instantely hear it a bend in my opinion same as in comfortably numb,0.1027
i am a german teenager and i think i am the only one in my school who absolutely loves him he just a god,0.7264
why because it almost impossible playing 13 and bend 3rd string on 2nd fret i still visit my doctor for some titanium pins replacement broken my left wrist while trying to play scuttle buttin 5 years ago,-0.046
it a magnificent riff,0.5994
dude i been playing bass over 10 years and just pulled an old 90s yamaha rgz out of the closet so i could learn some chords on it to accent my bass playing i already love your style of teaching and will be back for more when i get it out of the shop awesome video,0.8979
honestly this is crazy only yesterday was i looking at tabs for this song and then you upload,0.1531
lonnie mack played this riff in wham in the middle of solo before srv,0.34
great job paul as usual,0.6249
for starters srv used a very heavy string gauge from 13s to 12s srvs attack was incredible thank you for the lesson,-0.1531
from my ear i hear him doing bends and slides in the original recording he alternates,0.3182
love the vid u should do more stevie ray vaughan videos,0.6369
what an unbearable piece of nonsense this video is,-0.4019
great lesson thank you something i never even bothered to try learning because it sounds so fast that it s intimidating learnt it in about half an hour with your great video in answer to your video title hardest blues riff i have to say i think srv s testify solo sections or rude mood are harder a video on those would be great if there isn t already,0.8971
finally explained in an understandable way thanks,0.4404
connor is that you,0.0
stevie is the goat,0.0
great execution paul but i think srv has more punch he picks harder his hands are so powerful,0.8164
amazing video it is impossible to watch the video without wanting to pick up a guitar to try and play this iconic riff bravo bravo,0.7351
more more more srv,0.0
so entertaining and captivating,0.4927
steve vai did a song like a honerable mention jibbom is a fantastic song,0.7269
mc gregor,0.0
i get that this is a instructional video and thank you but i can not think of anything more contrary to playing the blues the videos of srv playing the same song differently is a perfect example of it stop worrying about playing perfect just play what you feel that is the first rule amen,0.9504
egoman strikes again,-0.3612
your fender and your touch are insane,-0.4019
love the rubber gaskets from grolsch bottles to lock your strap,0.6369
terrific job paul,0.4767
you are like me i cannot follow many youtube musicians on their reinterpretations simply because i know the way they play it is not how it was played originally also perfect editing but you already know that i am sure thank you for your channel,0.8934
bravo davids,0.0
so much of srv s sound comes from his strength if you want to get into that style then you need to start basically beating the shit out of your guitar but with precision this is a really great video btw paul i ve been following you since about 30k subs and it s been a real joy watching your channel grow,0.9436
nice video i drove from sweden to montreux 1985 to watch this guy he opened the show with this song damn good times great vid hugs,0.8834
why is john travolta smoking a pipe,0.0
nice vid but the ads that do not allow you to skip ahead totally suck shit and ruin it,-0.951
great video this is my favourite topic of yours i m not sure if you would find the following worthy of a video the lick at 2mins 10secs of ac dc s back in black i have slowed it down in ableton and still cannot nail it i think it s the speed at which angus does his vibrato that makes it tricky but i m still not sure i would be interested in your thoughts i haven t come across any youtuber you plays it correctly to my ears,0.745
why is your nut lower than the top of your fret board,-0.1027
bonus challenge do it smoking a freaking pipe man haha c mon geez srv could you get any more awesome can not stop laughing,0.825
can you breakdown 110th street by bobby womack,0.0
may be some foo fighters song for the next vid i know they have super easy songs but i just like them xd,0.9144
great video believe me paul you do not want to see my attempt at this riff,0.5964
beautiful as always and your tone is super cool matchless or kemper with matchless profile,0.8779
jan akkerman hocus pocus,0.0
add to this playing heavy strings and the neck the girth of a baseball bat as challenges 6 and 7,0.3182
love that little satire you did on the typical youtuber intro,0.6369
hi paul in reference to your explanation of why is the intro riff to baby you can drive my car so confusing it starts on the 4th off beat maybe you should have made it clear that this one also does not start on the 1 but rather on the second 16th of the 3rd beat or does it you tell me that might have been your challenge number 1 p,0.2393
i was getting ready to say thats not how he plays it on the record tho well done for getting it right,0.4329
i would be keen to see a video on how good of a player is john mayer really,0.6597
oooo yeah this is the one thnx paul for the vid an some great insights struggling with this one for sure two things iv noticed bout the lick is when he plays it for the first time without bass drums it sounds clear and everything is to say by the book as you explained but when the band kicks in i think there is something more going on to this lick that makes it well hard to play i think its the rhythm or something the way he plays it which par he accents i dont know the feel of it especialy live thers something in that first bend slide seams kind of dragged and then he shoots trough the lick but kind of pauses at some parts i dont know its hard to explain the other thing is that e that he hits on the bass string at the end he does it with the upstroke live i play the ending part same as you with pulloffs or slideoff on the g and cant end on upstroke same as you its awkward i think he picks something more there or something i dont know maybe im wrong definetly the simple but somehow hardest riff guys gals what do you think,0.7622
weergaloos of had voor mij iemand dat al gezegd,0.0
your missing a slide on low g,-0.5106
hi paul are you using your matchless in this one,0.0
fleetwood mac the chain please,0.3182
what a great way to honor srv 3,0.8074
thanks for this video paul great lesson as always but at least for me the ads were quite annoying and almost too many to bear,-0.1254
so meta it hurt my future self mind remembering it later today,-0.5667
great video you are hands down the best but 3 adverts during a 13 minute video is pretty annoying though especially learn to play guitar related ones the same one 3 times oh and one before the video even starts back off youtube,0.8554
he interchanges the the silde and the bend i learn from the live recordings,0.0
awesome paul you are my hero tone so sweet bro what is your signal chain in this vid,0.8999
there has never been nor will there ever be better than stevie but paul davids still does stevie right,0.2382
interesting but to my mind to much talking when i want to learn the riff,0.3182
brilliant video paul once again,0.5859
the same lick played over and over kinda like snow hey oh and its also difficult why must life be so hard,0.062
at 3 58 paul points up and my phones click changed to 12 00 at the same time whoa,0.0
i can not find it anymore but i remember in your first bet you can not play it video you noted that when he plays this song live he uses slides why is this i type in confusion before this exact question is literally directly addressed in this video lol,0.2134
i think it like new boot goofin lol,0.6486
i think scuttle buttin might mean getting after it or talkin,0.0
nice what i learned is something i have known for years srv was a guitar god he left us way too soon pride and joy and little sister are my favorites he broke a lot of strings with those bends,0.8779
outstanding class scuttlebutt gossip,0.5106
niiiice but i think this is still not as difficult as rude mood especially for picking speed,-0.3259
did you drink the grolsch for that strap lock,0.0
i think your pull off from the 3rd fret g string to 2nd fret g string is actually meant to be a quick slide from 2nd to 3rd back to 2nd so on a tab it would be 2 3 2p0 all with the middle finger opinions if you look at videos of srv doing it you can see what i mean and it actually has quite an audible difference would love to hear what other people think to me it doesn t sound quite right with just a simple pull off like paul does nonetheless great video love it edit just watched the live vid that paul is showing and srv is definitely doing it like i ve said above most of the time but sometimes in the transition from b7 back to e referencing standard tuning he is doing a simpler version that looks more like pauls interesting,0.9538
i usually bend it myself the studio version always sounded bended to me,0.0
challenge 6 try to sign thank god there no lyrics,0.4019
srv the only man on earth who could bend on the 2nd fret,0.0
in addition to tuning down a half step we might need to use 13 and superglue the end of the left hand finger nails to the skin of the finger tips thanks for sharing your good work paul,0.8957
another great breakdown thank you,0.765
srv magical,0.0
slip jive anticipate play from the north make it swing find every crack play for hours and hours get hot hot hot til you feel the fire and everything burns you will hurt and get tendonitis or your not gonna catch up with srv,-0.25
555 comment,0.0
easy way to play srv is dont try it was a god given talent,0.8481
not quite my tempo,0.0
